"age_c" "gender_c" "occupation_c" "population"
"3077" "61 to 65" "Female" "Naaisters" 450
"3078" "66 to 70" "Female" "Naaisters" 324
"3079" "Older than 70" "Female" "Naaisters" 263
"3080" "Older than 70" "Male" "Nettenbreiers" 1
"3081" "18 to 22" "Male" "Nettendrogers" 2
"3082" "36 to 50" "Male" "Oesterputhouders" 3
"3083" "18 to 22" "Male" "Omroepers" 1
"3084" "61 to 65" "Male" "Omroepers" 1
"3085" "66 to 70" "Male" "Omroepers" 1
"3086" "36 to 50" "Male" "Ondernemers van openbare verkoopingen" 2
"3087" "61 to 65" "Male" "Ondernemers van openbare verkoopingen" 1
"3088" "25 to 35" "Male" "Ondernemers van stoombootdiensten" 1
"3089" "36 to 50" "Male" "Ondernemers van stoombootdiensten" 3
"3090" "Older than 70" "Male" "Ondernemers van stoombootdiensten" 1
"3091" "51 to 60" "Male" "Ontvangers venduhuis" 1
"3092" "12" "Male" "Openbare reiniging" 1
"3093" "13" "Male" "Openbare reiniging" 3
"3094" "14 to 15" "Male" "Openbare reiniging" 13
"3095" "16 to 17" "Male" "Openbare reiniging" 9
"3096" "18 to 22" "Male" "Openbare reiniging" 51
"3097" "23 to 24" "Male" "Openbare reiniging" 26
"3098" "25 to 35" "Male" "Openbare reiniging" 144
"3099" "36 to 50" "Male" "Openbare reiniging" 174
"3100" "51 to 60" "Male" "Openbare reiniging" 100
"3101" "61 to 65" "Male" "Openbare reiniging" 42
"3102" "66 to 70" "Male" "Openbare reiniging" 18
"3103" "Older than 70" "Male" "Openbare reiniging" 10
"3104" "36 to 50" "Female" "Openbare reiniging" 1
"3105" "51 to 60" "Female" "Openbare reiniging" 1
"3106" "61 to 65" "Female" "Openbare reiniging" 1
"3107" "66 to 70" "Female" "Openbare reiniging" 1
"3108" "Older than 70" "Female" "Openbare reiniging" 1
"3109" "16 to 17" "Male" "Opperlieden" 12
"3110" "18 to 22" "Male" "Opperlieden" 54
"3111" "23 to 24" "Male" "Opperlieden" 26
"3112" "25 to 35" "Male" "Opperlieden" 186
"3113" "36 to 50" "Male" "Opperlieden" 309
"3114" "51 to 60" "Male" "Opperlieden" 133
"3115" "61 to 65" "Male" "Opperlieden" 53
"3116" "66 to 70" "Male" "Opperlieden" 22
"3117" "Older than 70" "Male" "Opperlieden" 10
"3118" "36 to 50" "Male" "Opzetters van vogels" 1
"3119" "61 to 65" "Male" "Opzetters van vogels" 1
"3120" "16 to 17" "Male" "Opzichters" 1
"3121" "18 to 22" "Male" "Opzichters" 28
"3122" "23 to 24" "Male" "Opzichters" 33
"3123" "25 to 35" "Male" "Opzichters" 133
"3124" "36 to 50" "Male" "Opzichters" 125
"3125" "51 to 60" "Male" "Opzichters" 53
"3126" "61 to 65" "Male" "Opzichters" 23
"3127" "66 to 70" "Male" "Opzichters" 8
"3128" "Older than 70" "Male" "Opzichters" 6
"3129" "61 to 65" "Female" "Opzichters" 1
"3130" "66 to 70" "Female" "Opzichters" 1
"3131" "25 to 35" "Male" "Orgelverhuurders" 1
"3132" "51 to 60" "Male" "Orgelverhuurders" 2
"3133" "Older than 70" "Male" "Orgelverhuurders" 1
"3134" "23 to 24" "Male" "Ornamentgieters" 1
"3135" "51 to 60" "Male" "Ornamentgieters" 1
"3136" "61 to 65" "Male" "Ornamentgieters" 1
"3137" "16 to 17" "Male" "Ornamentmakers" 3
"3138" "18 to 22" "Male" "Ornamentmakers" 2
"3139" "23 to 24" "Male" "Ornamentmakers" 1
"3140" "25 to 35" "Male" "Ornamentmakers" 4
"3141" "36 to 50" "Male" "Ornamentmakers" 2
"3142" "51 to 60" "Male" "Ornamentmakers" 3
"3143" "61 to 65" "Male" "Ornamentmakers" 1
"3144" "13" "Male" "Paardenslachters" 1
"3145" "14 to 15" "Male" "Paardenslachters" 1
"3146" "16 to 17" "Male" "Paardenslachters" 1
"3147" "25 to 35" "Male" "Paardenslachters" 9
"3148" "36 to 50" "Male" "Paardenslachters" 9
"3149" "51 to 60" "Male" "Paardenslachters" 2
"3150" "61 to 65" "Male" "Paardenslachters" 1
"3151" "23 to 24" "Female" "Paardenslachters" 1
"3152" "36 to 50" "Female" "Paardenslachters" 2
"3153" "51 to 60" "Female" "Paardenslachters" 1
"3154" "61 to 65" "Male" "Parapluibewaarders" 1
"3155" "18 to 22" "Male" "Photografen" 6
"3156" "23 to 24" "Male" "Photografen" 3
"3157" "25 to 35" "Male" "Photografen" 31
"3158" "36 to 50" "Male" "Photografen" 53
"3159" "51 to 60" "Male" "Photografen" 21
"3160" "61 to 65" "Male" "Photografen" 2
"3161" "66 to 70" "Male" "Photografen" 2
"3162" "Older than 70" "Female" "Photografen" 2
"3163" "16 to 17" "Male" "Pianostemmers" 4
"3164" "18 to 22" "Male" "Pianostemmers" 6
"3165" "23 to 24" "Male" "Pianostemmers" 5
"3166" "25 to 35" "Male" "Pianostemmers" 38
"3167" "36 to 50" "Male" "Pianostemmers" 15
"3168" "51 to 60" "Male" "Pianostemmers" 3
"3169" "61 to 65" "Male" "Pianostemmers" 1
"3170" "66 to 70" "Male" "Pianostemmers" 3
"3171" "Older than 70" "Male" "Pianostemmers" 2
"3172" "51 to 60" "Female" "Pianostemmers" 1
"3173" "25 to 35" "Male" "Plaatdrukkers" 1
"3174" "51 to 60" "Male" "Plaatdrukkers" 1
"3175" "25 to 35" "Male" "Planters in Indië" 1
"3176" "36 to 50" "Male" "Planters in Indië" 1
"3177" "61 to 65" "Male" "Planters in Indië" 1
"3178" "14 to 15" "Male" "Plateelschilders" 2
"3179" "18 to 22" "Male" "Plateelschilders" 2
"3180" "25 to 35" "Male" "Plateelschilders" 2
"3181" "61 to 65" "Male" "Platenkleurders" 1
"3182" "16 to 17" "Male" "Pleisterbeeldenmakers" 1
"3183" "18 to 22" "Male" "Pleisterbeeldenmakers" 1
"3184" "25 to 35" "Male" "Pleisterbeeldenmakers" 1
"3185" "61 to 65" "Male" "Pleisterbeeldenmakers" 1
"3186" "36 to 50" "Male" "Plisseerders" 1
"3187" "23 to 24" "Male" "Ploegbazen" 1
"3188" "25 to 35" "Male" "Ploegbazen" 4
"3189" "36 to 50" "Male" "Ploegbazen" 14
"3190" "51 to 60" "Male" "Ploegbazen" 5
"3191" "61 to 65" "Male" "Ploegbazen" 1
"3192" "66 to 70" "Male" "Ploegbazen" 1
"3193" "18 to 22" "Male" "Pluimgraven" 1
"3194" "13" "Male" "Poeliers" 1
"3195" "14 to 15" "Male" "Poeliers" 6
"3196" "16 to 17" "Male" "Poeliers" 11
"3197" "18 to 22" "Male" "Poeliers" 23
"3198" "23 to 24" "Male" "Poeliers" 7
"3199" "25 to 35" "Male" "Poeliers" 31
"3200" "36 to 50" "Male" "Poeliers" 40
"3201" "51 to 60" "Male" "Poeliers" 19
"3202" "61 to 65" "Male" "Poeliers" 3
"3203" "66 to 70" "Male" "Poeliers" 3
"3204" "Older than 70" "Male" "Poeliers" 2
"3205" "23 to 24" "Female" "Poeliers" 1
"3206" "36 to 50" "Female" "Poeliers" 1
"3207" "51 to 60" "Female" "Poeliers" 2
"3208" "66 to 70" "Female" "Poeliers" 1
"3209" "16 to 17" "Male" "Polderwerkers" 1
"3210" "18 to 22" "Male" "Polderwerkers" 2
"3211" "23 to 24" "Male" "Polderwerkers" 5
"3212" "25 to 35" "Male" "Polderwerkers" 32
"3213" "36 to 50" "Male" "Polderwerkers" 34
"3214" "51 to 60" "Male" "Polderwerkers" 14
"3215" "61 to 65" "Male" "Polderwerkers" 4
"3216" "16 to 17" "Male" "Porceleinschilders" 2
"3217" "36 to 50" "Male" "Porceleinschilders" 2
"3218" "61 to 65" "Male" "Porceleinschilders" 1
"3219" "18 to 22" "Male" "Porders" 1
"3220" "23 to 24" "Male" "Porders" 1
"3221" "25 to 35" "Male" "Porders" 5
"3222" "36 to 50" "Male" "Porders" 9
"3223" "51 to 60" "Male" "Porders" 11
"3224" "61 to 65" "Male" "Porders" 6
"3225" "66 to 70" "Male" "Porders" 6
"3226" "Older than 70" "Male" "Porders" 1
"3227" "16 to 17" "Female" "Porders" 1
"3228" "25 to 35" "Female" "Porders" 2
"3229" "36 to 50" "Female" "Porders" 11
"3230" "51 to 60" "Female" "Porders" 12
"3231" "61 to 65" "Female" "Porders" 5
"3232" "66 to 70" "Female" "Porders" 8
"3233" "Older than 70" "Female" "Porders" 6
"3234" "16 to 17" "Male" "Postambtenaren en beambten" 1
"3235" "18 to 22" "Male" "Postambtenaren en beambten" 19
"3236" "23 to 24" "Male" "Postambtenaren en beambten" 46
"3237" "25 to 35" "Male" "Postambtenaren en beambten" 135
"3238" "36 to 50" "Male" "Postambtenaren en beambten" 106
"3239" "51 to 60" "Male" "Postambtenaren en beambten" 27
"3240" "61 to 65" "Male" "Postambtenaren en beambten" 3
"3241" "66 to 70" "Male" "Postambtenaren en beambten" 5
"3242" "Older than 70" "Male" "Postambtenaren en beambten" 1
"3243" "16 to 17" "Female" "Postambtenaren en beambten" 1
"3244" "23 to 24" "Female" "Postambtenaren en beambten" 1
"3245" "18 to 22" "Male" "Reeders" 2
"3246" "25 to 35" "Male" "Reeders" 10
"3247" "36 to 50" "Male" "Reeders" 21
"3248" "51 to 60" "Male" "Reeders" 19
"3249" "61 to 65" "Male" "Reeders" 8
"3250" "66 to 70" "Male" "Reeders" 1
"3251" "Older than 70" "Male" "Reeders" 2
"3252" "36 to 50" "Female" "Reeders" 1
"3253" "51 to 60" "Female" "Reeders" 2
"3254" "14 to 15" "Male" "Reizigers" 2
"3255" "16 to 17" "Male" "Reizigers" 7
"3256" "18 to 22" "Male" "Reizigers" 104
"3257" "23 to 24" "Male" "Reizigers" 88
"3258" "25 to 35" "Male" "Reizigers" 452
"3259" "36 to 50" "Male" "Reizigers" 316
"3260" "51 to 60" "Male" "Reizigers" 92
"3261" "61 to 65" "Male" "Reizigers" 26
"3262" "66 to 70" "Male" "Reizigers" 7
"3263" "Older than 70" "Male" "Reizigers" 6
"3264" "25 to 35" "Male" "Reparateurs van antiquiteiten" 1
"3265" "36 to 50" "Male" "Reparateurs van antiquiteiten" 3
"3266" "25 to 35" "Male" "Restaurateurs" 12
"3267" "36 to 50" "Male" "Restaurateurs" 24
"3268" "51 to 60" "Male" "Restaurateurs" 9
"3269" "61 to 65" "Male" "Restaurateurs" 1
"3270" "Older than 70" "Male" "Restaurateurs" 1
"3271" "23 to 24" "Female" "Restaurateurs" 1
"3272" "25 to 35" "Female" "Restaurateurs" 2
"3273" "36 to 50" "Female" "Restaurateurs" 11
"3274" "51 to 60" "Female" "Restaurateurs" 4
"3275" "61 to 65" "Female" "Restaurateurs" 3
"3276" "16 to 17" "Male" "Retoucheurs" 1
"3277" "18 to 22" "Male" "Retoucheurs" 2
"3278" "23 to 24" "Male" "Retoucheurs" 1
"3279" "25 to 35" "Male" "Retoucheurs" 3
"3280" "36 to 50" "Male" "Retoucheurs" 4
"3281" "25 to 35" "Female" "Retoucheurs" 1
"3282" "12" "Male" "Rijtuigschilders" 1
"3283" "13" "Male" "Rijtuigschilders" 2
"3284" "14 to 15" "Male" "Rijtuigschilders" 9
"3285" "16 to 17" "Male" "Rijtuigschilders" 3
"3286" "18 to 22" "Male" "Rijtuigschilders" 12
"3287" "23 to 24" "Male" "Rijtuigschilders" 4
"3288" "25 to 35" "Male" "Rijtuigschilders" 22
"3289" "36 to 50" "Male" "Rijtuigschilders" 20
"3290" "51 to 60" "Male" "Rijtuigschilders" 11
"3291" "61 to 65" "Male" "Rijtuigschilders" 5
"3292" "Older than 70" "Male" "Rijtuigschilders" 1
"3293" "25 to 35" "Male" "Rijtuigsmeden" 1
"3294" "36 to 50" "Male" "Rijtuigsmeden" 3
"3295" "51 to 60" "Male" "Rijtuigsmeden" 4
"3296" "66 to 70" "Male" "Rijtuigsmeden" 1
"3297" "Older than 70" "Male" "Rijtuigsmeden" 1
"3298" "16 to 17" "Male" "Rottingvlechters" 2
"3299" "36 to 50" "Male" "Rottingvlechters" 2
"3300" "51 to 60" "Male" "Rottingvlechters" 1
"3301" "36 to 50" "Male" "Schaapherders" 1
"3302" "36 to 50" "Male" "Schafthuishouders" 3
"3303" "51 to 60" "Male" "Schafthuishouders" 3
"3304" "61 to 65" "Male" "Schafthuishouders" 1
"3305" "Older than 70" "Male" "Schafthuishouders" 1
"3306" "25 to 35" "Female" "Schafthuishouders" 6
"3307" "36 to 50" "Female" "Schafthuishouders" 4
"3308" "51 to 60" "Female" "Schafthuishouders" 14
"3309" "61 to 65" "Female" "Schafthuishouders" 3
"3310" "66 to 70" "Female" "Schafthuishouders" 1
"3311" "14 to 15" "Male" "Scharenslijpers" 1
"3312" "16 to 17" "Male" "Scharenslijpers" 1
"3313" "18 to 22" "Male" "Scharenslijpers" 8
"3314" "23 to 24" "Male" "Scharenslijpers" 2
"3315" "25 to 35" "Male" "Scharenslijpers" 12
"3316" "36 to 50" "Male" "Scharenslijpers" 16
"3317" "51 to 60" "Male" "Scharenslijpers" 4
"3318" "61 to 65" "Male" "Scharenslijpers" 2
"3319" "Older than 70" "Male" "Scharenslijpers" 1
"3320" "Older than 70" "Female" "Scharenslijpers" 1
"3321" "12" "Male" "Scheepmakers" 5
"3322" "13" "Male" "Scheepmakers" 11
"3323" "14 to 15" "Male" "Scheepmakers" 46
"3324" "16 to 17" "Male" "Scheepmakers" 53
"3325" "18 to 22" "Male" "Scheepmakers" 125
"3326" "23 to 24" "Male" "Scheepmakers" 44
"3327" "25 to 35" "Male" "Scheepmakers" 272
"3328" "36 to 50" "Male" "Scheepmakers" 506
"3329" "51 to 60" "Male" "Scheepmakers" 289
"3330" "61 to 65" "Male" "Scheepmakers" 76
"3331" "66 to 70" "Male" "Scheepmakers" 75
"3332" "Older than 70" "Male" "Scheepmakers" 41
"3333" "Older than 70" "Female" "Scheepmakers" 1
"3334" "25 to 35" "Male" "Scheepsbevrachters en lichters" 12
"3335" "36 to 50" "Male" "Scheepsbevrachters en lichters" 24
"3336" "51 to 60" "Male" "Scheepsbevrachters en lichters" 13
"3337" "61 to 65" "Male" "Scheepsbevrachters en lichters" 3
"3338" "66 to 70" "Male" "Scheepsbevrachters en lichters" 5
"3339" "Older than 70" "Male" "Scheepsbevrachters en lichters" 4
"3340" "51 to 60" "Male" "Scheepscontroleurs" 1
"3341" "23 to 24" "Male" "Scheepsschilders" 1
"3342" "25 to 35" "Male" "Scheepsschilders" 3
"3343" "36 to 50" "Male" "Scheepsschilders" 9
"3344" "51 to 60" "Male" "Scheepsschilders" 3
"3345" "Older than 70" "Male" "Scheepsschilders" 1
"3346" "16 to 17" "Male" "Scheepstakelaars" 1
"3347" "18 to 22" "Male" "Scheepstakelaars" 3
"3348" "25 to 35" "Male" "Scheepstakelaars" 1
"3349" "36 to 50" "Male" "Scheepstakelaars" 22
"3350" "51 to 60" "Male" "Scheepstakelaars" 33
"3351" "61 to 65" "Male" "Scheepstakelaars" 12
"3352" "66 to 70" "Male" "Scheepstakelaars" 9
"3353" "Older than 70" "Male" "Scheepstakelaars" 3
"3354" "12" "Male" "Schippers" 4
"3355" "13" "Male" "Schippers" 16
"3356" "14 to 15" "Male" "Schippers" 61
"3357" "16 to 17" "Male" "Schippers" 125
"3358" "18 to 22" "Male" "Schippers" 255
"3359" "23 to 24" "Male" "Schippers" 174
"3360" "25 to 35" "Male" "Schippers" 909
"3361" "36 to 50" "Male" "Schippers" 920
"3362" "51 to 60" "Male" "Schippers" 376
"3363" "61 to 65" "Male" "Schippers" 131
"3364" "66 to 70" "Male" "Schippers" 87
"3365" "Older than 70" "Male" "Schippers" 43
"3366" "25 to 35" "Female" "Schippers" 2
"3367" "36 to 50" "Female" "Schippers" 3
"3368" "51 to 60" "Female" "Schippers" 11
"3369" "61 to 65" "Female" "Schippers" 4
"3370" "66 to 70" "Female" "Schippers" 2
"3371" "Older than 70" "Female" "Schippers" 7
"3372" "14 to 15" "Male" "Schoenpoetsers" 2
"3373" "18 to 22" "Male" "Schoenpoetsers" 3
"3374" "23 to 24" "Male" "Schoenpoetsers" 3
"3375" "25 to 35" "Male" "Schoenpoetsers" 10
"3376" "36 to 50" "Male" "Schoenpoetsers" 17
"3377" "51 to 60" "Male" "Schoenpoetsers" 28
"3378" "61 to 65" "Male" "Schoenpoetsers" 21
"3379" "66 to 70" "Male" "Schoenpoetsers" 11
"3380" "Older than 70" "Male" "Schoenpoetsers" 4
"3381" "25 to 35" "Female" "Schoenpoetsers" 1
"3382" "51 to 60" "Female" "Schoenpoetsers" 1
"3383" "61 to 65" "Female" "Schoenpoetsers" 1
"3384" "66 to 70" "Female" "Schoenpoetsers" 1
"3385" "Older than 70" "Female" "Schoenpoetsers" 2
"3386" "12" "Male" "Schoorsteenvegers" 3
"3387" "13" "Male" "Schoorsteenvegers" 4
"3388" "14 to 15" "Male" "Schoorsteenvegers" 16
"3389" "16 to 17" "Male" "Schoorsteenvegers" 18
"3390" "18 to 22" "Male" "Schoorsteenvegers" 49
"3391" "23 to 24" "Male" "Schoorsteenvegers" 19
"3392" "25 to 35" "Male" "Schoorsteenvegers" 72
"3393" "36 to 50" "Male" "Schoorsteenvegers" 47
"3394" "51 to 60" "Male" "Schoorsteenvegers" 17
"3395" "61 to 65" "Male" "Schoorsteenvegers" 5
"3396" "66 to 70" "Male" "Schoorsteenvegers" 4
"3397" "51 to 60" "Female" "Schoorsteenvegers" 2
"3398" "61 to 65" "Female" "Schoorsteenvegers" 2
"3399" "18 to 22" "Male" "Schuitenjagers" 1
"3400" "25 to 35" "Male" "Schuitenjagers" 12
"3401" "36 to 50" "Male" "Schuitenjagers" 7
"3402" "51 to 60" "Male" "Schuitenjagers" 4
"3403" "18 to 22" "Male" "Schuitenverhuurders" 1
"3404" "25 to 35" "Male" "Schuitenverhuurders" 1
"3405" "36 to 50" "Male" "Schuitenverhuurders" 3
"3406" "66 to 70" "Male" "Schuitenverhuurders" 1
"3407" "36 to 50" "Female" "Schuitenverhuurders" 1
"3408" "12" "Male" "Sjouwerslieden" 4
"3409" "13" "Male" "Sjouwerslieden" 2
"3410" "14 to 15" "Male" "Sjouwerslieden" 68
"3411" "16 to 17" "Male" "Sjouwerslieden" 207
"3412" "18 to 22" "Male" "Sjouwerslieden" 1166
"3413" "23 to 24" "Male" "Sjouwerslieden" 517
"3414" "25 to 35" "Male" "Sjouwerslieden" 3069
"3415" "36 to 50" "Male" "Sjouwerslieden" 3873
"3416" "51 to 60" "Male" "Sjouwerslieden" 1802
"3417" "61 to 65" "Male" "Sjouwerslieden" 581
"3418" "66 to 70" "Male" "Sjouwerslieden" 355
"3419" "Older than 70" "Male" "Sjouwerslieden" 117
"3420" "18 to 22" "Female" "Sjouwerslieden" 6
"3421" "25 to 35" "Female" "Sjouwerslieden" 3
"3422" "36 to 50" "Female" "Sjouwerslieden" 10
"3423" "51 to 60" "Female" "Sjouwerslieden" 5
"3424" "61 to 65" "Female" "Sjouwerslieden" 2
"3425" "66 to 70" "Female" "Sjouwerslieden" 2
"3426" "12" "Male" "Smeden en slotenmakers" 43
"3427" "13" "Male" "Smeden en slotenmakers" 162
"3428" "14 to 15" "Male" "Smeden en slotenmakers" 380
"3429" "16 to 17" "Male" "Smeden en slotenmakers" 444
"3430" "18 to 22" "Male" "Smeden en slotenmakers" 524
"3431" "23 to 24" "Male" "Smeden en slotenmakers" 260
"3432" "25 to 35" "Male" "Smeden en slotenmakers" 1266
"3433" "36 to 50" "Male" "Smeden en slotenmakers" 1508
"3434" "51 to 60" "Male" "Smeden en slotenmakers" 557
"3435" "61 to 65" "Male" "Smeden en slotenmakers" 158
"3436" "66 to 70" "Male" "Smeden en slotenmakers" 98
"3437" "Older than 70" "Male" "Smeden en slotenmakers" 42
"3438" "25 to 35" "Female" "Smeden en slotenmakers" 1
"3439" "36 to 50" "Female" "Smeden en slotenmakers" 3
"3440" "51 to 60" "Female" "Smeden en slotenmakers" 4
"3441" "61 to 65" "Female" "Smeden en slotenmakers" 3
"3442" "66 to 70" "Female" "Smeden en slotenmakers" 2
"3443" "12" "Male" "Spekslagers" 7
"3444" "13" "Male" "Spekslagers" 14
"3445" "14 to 15" "Male" "Spekslagers" 54
"3446" "16 to 17" "Male" "Spekslagers" 58
"3447" "18 to 22" "Male" "Spekslagers" 180
"3448" "23 to 24" "Male" "Spekslagers" 68
"3449" "25 to 35" "Male" "Spekslagers" 242
"3450" "36 to 50" "Male" "Spekslagers" 163
"3451" "51 to 60" "Male" "Spekslagers" 47
"3452" "61 to 65" "Male" "Spekslagers" 6
"3453" "66 to 70" "Male" "Spekslagers" 7
"3454" "Older than 70" "Male" "Spekslagers" 5
"3455" "25 to 35" "Female" "Spekslagers" 2
"3456" "36 to 50" "Female" "Spekslagers" 5
"3457" "51 to 60" "Female" "Spekslagers" 3
"3458" "13" "Male" "Steendrukkers" 1
"3459" "18 to 22" "Male" "Steendrukkers" 2
"3460" "23 to 24" "Male" "Steendrukkers" 5
"3461" "25 to 35" "Male" "Steendrukkers" 24
"3462" "36 to 50" "Male" "Steendrukkers" 36
"3463" "51 to 60" "Male" "Steendrukkers" 15
"3464" "61 to 65" "Male" "Steendrukkers" 4
"3465" "66 to 70" "Male" "Steendrukkers" 1
"3466" "Older than 70" "Male" "Steendrukkers" 1
"3467" "51 to 60" "Female" "Steendrukkers" 2
"3468" "61 to 65" "Female" "Steendrukkers" 1
"3469" "66 to 70" "Female" "Steendrukkers" 2
"3470" "Older than 70" "Female" "Steendrukkers" 1
"3471" "14 to 15" "Male" "Steenhouwers" 1
"3472" "23 to 24" "Male" "Steenhouwers" 2
"3473" "25 to 35" "Male" "Steenhouwers" 26
"3474" "36 to 50" "Male" "Steenhouwers" 38
"3475" "51 to 60" "Male" "Steenhouwers" 16
"3476" "61 to 65" "Male" "Steenhouwers" 5
"3477" "66 to 70" "Male" "Steenhouwers" 2
"3478" "Older than 70" "Male" "Steenhouwers" 1
"3479" "18 to 22" "Male" "Steenkloppers (bikkers)" 2
"3480" "51 to 60" "Male" "Steenkloppers (bikkers)" 1
"3481" "66 to 70" "Male" "Steenkloppers (bikkers)" 2
"3482" "Older than 70" "Male" "Steenkloppers (bikkers)" 1
"3483" "25 to 35" "Female" "Steenkloppers (bikkers)" 1
"3484" "36 to 50" "Female" "Steenkloppers (bikkers)" 3
"3485" "51 to 60" "Female" "Steenkloppers (bikkers)" 2
"3486" "51 to 60" "Male" "Steenkolenfactoren" 1
"3487" "36 to 50" "Male" "Steenzetters" 1
"3488" "36 to 50" "Male" "Steigermakers" 1
"3489" "14 to 15" "Male" "Stoelenmatters" 2
"3490" "16 to 17" "Male" "Stoelenmatters" 4
"3491" "18 to 22" "Male" "Stoelenmatters" 13
"3492" "23 to 24" "Male" "Stoelenmatters" 3
"3493" "25 to 35" "Male" "Stoelenmatters" 19
"3494" "36 to 50" "Male" "Stoelenmatters" 20
"3495" "51 to 60" "Male" "Stoelenmatters" 20
"3496" "61 to 65" "Male" "Stoelenmatters" 6
"3497" "66 to 70" "Male" "Stoelenmatters" 6
"3498" "Older than 70" "Male" "Stoelenmatters" 2
"3499" "14 to 15" "Female" "Stoelenmatters" 1
"3500" "16 to 17" "Female" "Stoelenmatters" 1
"3501" "18 to 22" "Female" "Stoelenmatters" 1
"3502" "25 to 35" "Female" "Stoelenmatters" 1
"3503" "36 to 50" "Female" "Stoelenmatters" 5
"3504" "51 to 60" "Female" "Stoelenmatters" 2
"3505" "14 to 15" "Male" "Stoffenververs" 2
"3506" "16 to 17" "Male" "Stoffenververs" 1
"3507" "18 to 22" "Male" "Stoffenververs" 1
"3508" "23 to 24" "Male" "Stoffenververs" 1
"3509" "25 to 35" "Male" "Stoffenververs" 10
"3510" "36 to 50" "Male" "Stoffenververs" 21
"3511" "51 to 60" "Male" "Stoffenververs" 7
"3512" "61 to 65" "Male" "Stoffenververs" 4
"3513" "66 to 70" "Male" "Stoffenververs" 2
"3514" "Older than 70" "Male" "Stoffenververs" 2
"3515" "36 to 50" "Female" "Stoffenververs" 1
"3516" "51 to 60" "Female" "Stoffenververs" 1
"3517" "14 to 15" "Male" "Stokers" 1
"3518" "16 to 17" "Male" "Stokers" 8
"3519" "18 to 22" "Male" "Stokers" 51
"3520" "23 to 24" "Male" "Stokers" 21
"3521" "25 to 35" "Male" "Stokers" 104
"3522" "36 to 50" "Male" "Stokers" 68
"3523" "51 to 60" "Male" "Stokers" 17
"3524" "61 to 65" "Male" "Stokers" 4
"3525" "66 to 70" "Male" "Stokers" 2
"3526" "18 to 22" "Male" "Stokvischbeukers" 1
"3527" "25 to 35" "Male" "Stokvischbeukers" 2
"3528" "36 to 50" "Male" "Stokvischbeukers" 1
"3529" "51 to 60" "Male" "Stokvischbeukers" 1
"3530" "12" "Male" "Straatmakers" 1
"3531" "13" "Male" "Straatmakers" 8
"3532" "14 to 15" "Male" "Straatmakers" 19
"3533" "16 to 17" "Male" "Straatmakers" 28
"3534" "18 to 22" "Male" "Straatmakers" 77
"3535" "23 to 24" "Male" "Straatmakers" 22
"3536" "25 to 35" "Male" "Straatmakers" 97
"3537" "36 to 50" "Male" "Straatmakers" 46
"3538" "51 to 60" "Male" "Straatmakers" 38
"3539" "61 to 65" "Male" "Straatmakers" 15
"3540" "66 to 70" "Male" "Straatmakers" 6
"3541" "Older than 70" "Male" "Straatmakers" 1
"3542" "14 to 15" "Male" "Straatvegers" 7
"3543" "16 to 17" "Male" "Straatvegers" 13
"3544" "18 to 22" "Male" "Straatvegers" 20
"3545" "23 to 24" "Male" "Straatvegers" 9
"3546" "25 to 35" "Male" "Straatvegers" 39
"3547" "36 to 50" "Male" "Straatvegers" 47
"3548" "51 to 60" "Male" "Straatvegers" 39
"3549" "61 to 65" "Male" "Straatvegers" 19
"3550" "66 to 70" "Male" "Straatvegers" 7
"3551" "Older than 70" "Male" "Straatvegers" 1
"3552" "13" "Female" "Strijksters" 6
"3553" "14 to 15" "Female" "Strijksters" 48
"3554" "16 to 17" "Female" "Strijksters" 84
"3555" "18 to 22" "Female" "Strijksters" 295
"3556" "23 to 24" "Female" "Strijksters" 125
"3557" "25 to 35" "Female" "Strijksters" 352
"3558" "36 to 50" "Female" "Strijksters" 295
"3559" "51 to 60" "Female" "Strijksters" 152
"3560" "61 to 65" "Female" "Strijksters" 54
"3561" "66 to 70" "Female" "Strijksters" 20
"3562" "Older than 70" "Female" "Strijksters" 19
"3563" "12" "Male" "Stukadoors" 2
"3564" "13" "Male" "Stukadoors" 7
"3565" "14 to 15" "Male" "Stukadoors" 24
"3566" "16 to 17" "Male" "Stukadoors" 41
"3567" "18 to 22" "Male" "Stukadoors" 151
"3568" "23 to 24" "Male" "Stukadoors" 79
"3569" "25 to 35" "Male" "Stukadoors" 460
"3570" "36 to 50" "Male" "Stukadoors" 540
"3571" "51 to 60" "Male" "Stukadoors" 183
"3572" "61 to 65" "Male" "Stukadoors" 69
"3573" "66 to 70" "Male" "Stukadoors" 41
"3574" "Older than 70" "Male" "Stukadoors" 16
"3575" "51 to 60" "Female" "Stukadoors" 1
"3576" "66 to 70" "Female" "Stukadoors" 1
"3577" "16 to 17" "Male" "Stuurlieden" 7
"3578" "18 to 22" "Male" "Stuurlieden" 22
"3579" "23 to 24" "Male" "Stuurlieden" 10
"3580" "25 to 35" "Male" "Stuurlieden" 63
"3581" "36 to 50" "Male" "Stuurlieden" 75
"3582" "51 to 60" "Male" "Stuurlieden" 16
"3583" "61 to 65" "Male" "Stuurlieden" 2
"3584" "66 to 70" "Male" "Stuurlieden" 2
"3585" "12" "Male" "Suikerraffinadeurs" 1
"3586" "13" "Male" "Suikerraffinadeurs" 2
"3587" "14 to 15" "Male" "Suikerraffinadeurs" 19
"3588" "16 to 17" "Male" "Suikerraffinadeurs" 39
"3589" "18 to 22" "Male" "Suikerraffinadeurs" 97
